image_id,coco_url,caption
255965,http://images.cocodataset.org/val2017/000000255965.jpg,A cat pausing as it's picture is taken.
51598,http://images.cocodataset.org/val2017/000000051598.jpg,A black trash bag in a restroom next to a sink.
445846,http://images.cocodataset.org/val2017/000000445846.jpg,A clean kitchen with the windows white and open.
192871,http://images.cocodataset.org/val2017/000000192871.jpg,A glass bowl filled with oranges on a table.
365642,http://images.cocodataset.org/val2017/000000365642.jpg,A young attractive woman sitting on a toilette on the side of a street.
393569,http://images.cocodataset.org/val2017/000000393569.jpg,A young woman using a laptop computer while sitting on a bunk bed.
116479,http://images.cocodataset.org/val2017/000000116479.jpg,An old victorian style bed frame in a bedroom.
63740,http://images.cocodataset.org/val2017/000000063740.jpg,Two computers sitting on top of a desk.
570736,http://images.cocodataset.org/val2017/000000570736.jpg,A view of a bathroom that is clean.
492937,http://images.cocodataset.org/val2017/000000492937.jpg,A close up of a bike brake on a bicycle.
117425,http://images.cocodataset.org/val2017/000000117425.jpg,A toddler celebrates his birthday with a cupcake.
159977,http://images.cocodataset.org/val2017/000000159977.jpg,A giraffe and a zebra checking each other out.
232538,http://images.cocodataset.org/val2017/000000232538.jpg,A yellow and blue train is next to an overhang.
177934,http://images.cocodataset.org/val2017/000000177934.jpg,A group of women operating a car wash.
96549,http://images.cocodataset.org/val2017/000000096549.jpg,An airplane on the runway either just landed or ready to take off.
469192,http://images.cocodataset.org/val2017/000000469192.jpg,A car is parked on dry grass with kites overhead.
44652,http://images.cocodataset.org/val2017/000000044652.jpg,A flying plane with smoke trailing behind it.
210502,http://images.cocodataset.org/val2017/000000210502.jpg,Part of train car with a door to the rear connected to the car behind it
298396,http://images.cocodataset.org/val2017/000000298396.jpg,Kitchen area with counter top space and dining room table. 
187513,http://images.cocodataset.org/val2017/000000187513.jpg,A bathroom with a sliding shower door next to a toilet.
552883,http://images.cocodataset.org/val2017/000000552883.jpg,"A view of a kitchen with cabinets, a sink and a clothes washer."
228214,http://images.cocodataset.org/val2017/000000228214.jpg,A Marine that is looking at his cell phone.
453634,http://images.cocodataset.org/val2017/000000453634.jpg,A bathroom with a toilette with it's seat down.
201775,http://images.cocodataset.org/val2017/000000201775.jpg,A bathroom with two urinals and a sink.
391375,http://images.cocodataset.org/val2017/000000391375.jpg,A girl sitting on a bench in front of a stone wall.
557501,http://images.cocodataset.org/val2017/000000557501.jpg,A bathroom is very colorful with blue yellow and red.
435880,http://images.cocodataset.org/val2017/000000435880.jpg,A refrigerator next to a red wall in the kitchen. 
555050,http://images.cocodataset.org/val2017/000000555050.jpg,"A car driving in an intersection, past a furniture shop. "
466085,http://images.cocodataset.org/val2017/000000466085.jpg,A bathroom that has been gutted with the shower basin the only thing left.
442009,http://images.cocodataset.org/val2017/000000442009.jpg,a bathroom with a bath tub near windows
127987,http://images.cocodataset.org/val2017/000000127987.jpg,A baseball player bobble head next to two computer monitors on a desk.
368335,http://images.cocodataset.org/val2017/000000368335.jpg,a brown horse is walking in between two cars
423798,http://images.cocodataset.org/val2017/000000423798.jpg,A street at night is lit up by streetlights.
140420,http://images.cocodataset.org/val2017/000000140420.jpg,A motorcycle is parked on a dirt road in a forest.
204186,http://images.cocodataset.org/val2017/000000204186.jpg,Racers riding four wheelers while a crowd watches.
40471,http://images.cocodataset.org/val2017/000000040471.jpg,An older picture of a large kitchen with white appliances.
10363,http://images.cocodataset.org/val2017/000000010363.jpg,A gray cat standing on top of a black car.
173008,http://images.cocodataset.org/val2017/000000173008.jpg,A man in a tropical print shirt with glasses and long hair is eating a banana.
452793,http://images.cocodataset.org/val2017/000000452793.jpg,A kitchen with a granite counter top and faucet.
456865,http://images.cocodataset.org/val2017/000000456865.jpg,An airplane just landed on the runway 
504711,http://images.cocodataset.org/val2017/000000504711.jpg,A fork rests on a plate next to a piece of cake.
288584,http://images.cocodataset.org/val2017/000000288584.jpg,A person dressed as a giraffe carrying a bullhorn.
551304,http://images.cocodataset.org/val2017/000000551304.jpg,A white and gold fancy toilet and stainless trash can.
276284,http://images.cocodataset.org/val2017/000000276284.jpg,A motorcycle is parked in a parking lot.
103548,http://images.cocodataset.org/val2017/000000103548.jpg,A herd of animals traveling down a country road surrounded by a lush green landscape.
226408,http://images.cocodataset.org/val2017/000000226408.jpg,Child laying down with arms extended in the air.
558073,http://images.cocodataset.org/val2017/000000558073.jpg,a cat sitting in a bathtub not looking amused
102411,http://images.cocodataset.org/val2017/000000102411.jpg,Two people riding a motorcycle to the beach.
48924,http://images.cocodataset.org/val2017/000000048924.jpg,A dirt bike parked near a tent in the woods.
230008,http://images.cocodataset.org/val2017/000000230008.jpg,a traffic motorcycle cop waits to give a ticket
181666,http://images.cocodataset.org/val2017/000000181666.jpg,a flock of goats and some men watching them
543047,http://images.cocodataset.org/val2017/000000543047.jpg,A scene of an apartment with a dining table and a couple of couches.
565391,http://images.cocodataset.org/val2017/000000565391.jpg,A jeep with a dead bird on the windshield.
485802,http://images.cocodataset.org/val2017/000000485802.jpg,An airplane leaving a trail in the sky.
86220,http://images.cocodataset.org/val2017/000000086220.jpg,A car and a public transit vehicle on a road.
412894,http://images.cocodataset.org/val2017/000000412894.jpg,Dozens of people walking around a metro area
99054,http://images.cocodataset.org/val2017/000000099054.jpg,some planes on an air port run way
26564,http://images.cocodataset.org/val2017/000000026564.jpg,An office desk with a row of books and a desktop computer and laptop computer on the desk.
62025,http://images.cocodataset.org/val2017/000000062025.jpg,An image of a hotel bathroom that is ugly.
489091,http://images.cocodataset.org/val2017/000000489091.jpg,A residential bathroom has a modern motel look with upgraded fixtures and accessories.
155154,http://images.cocodataset.org/val2017/000000155154.jpg,The bathroom is small and white and gray.
71711,http://images.cocodataset.org/val2017/000000071711.jpg,A large airplane museum with old war planes.
152771,http://images.cocodataset.org/val2017/000000152771.jpg,A bike in the middle of an empty parking lot next to trees
437392,http://images.cocodataset.org/val2017/000000437392.jpg,A toilet that is decorated like a pink stuffed animal
571804,http://images.cocodataset.org/val2017/000000571804.jpg,Ten porcelain pieces with floral patterns painted on them.
78404,http://images.cocodataset.org/val2017/000000078404.jpg,Three women sitting on a park bench next to each other.
308631,http://images.cocodataset.org/val2017/000000308631.jpg,People stand around an antique motorcycle in a grassy area.
423971,http://images.cocodataset.org/val2017/000000423971.jpg,A toilet with an illuminated seat in a restroom.
304560,http://images.cocodataset.org/val2017/000000304560.jpg,A black ct with green eyes sitting in the sun.
221708,http://images.cocodataset.org/val2017/000000221708.jpg,Lights shine on a wooden dining room table.
26204,http://images.cocodataset.org/val2017/000000026204.jpg,A street filled with lots of traffic next to tall buildings.
85576,http://images.cocodataset.org/val2017/000000085576.jpg,A commercial bathroom stall with empty toilet paper holders.
153217,http://images.cocodataset.org/val2017/000000153217.jpg,a black cat standing in front of a motorcycle
270066,http://images.cocodataset.org/val2017/000000270066.jpg,A motorcycle is parked near a puddle and a van.
348708,http://images.cocodataset.org/val2017/000000348708.jpg,The banana is laying next to an almost empty bowl.
224051,http://images.cocodataset.org/val2017/000000224051.jpg,A bike is perched on a concrete girder on the road.
163746,http://images.cocodataset.org/val2017/000000163746.jpg,A pretty young girl standing next to another pretty young girl on a beach.
382122,http://images.cocodataset.org/val2017/000000382122.jpg,A large church building with a massive clock tower.
571857,http://images.cocodataset.org/val2017/000000571857.jpg,"In the desert, two people are sitting next to a small propeller plane next to a tent with other planes in the background."
209747,http://images.cocodataset.org/val2017/000000209747.jpg,A gray and white kitten sitting in a bathroom sink.
575205,http://images.cocodataset.org/val2017/000000575205.jpg,A small plane is preparing to land on the strip
17379,http://images.cocodataset.org/val2017/000000017379.jpg,a flat screen TV embedded in a restroom mirror.
55002,http://images.cocodataset.org/val2017/000000055002.jpg,A metallic toilet sitting in a small bathroom.
202228,http://images.cocodataset.org/val2017/000000202228.jpg,The reflection of a man taking  a picture in a mirror
194832,http://images.cocodataset.org/val2017/000000194832.jpg,A television screen is displayed in an empty bus.
147518,http://images.cocodataset.org/val2017/000000147518.jpg,A bathroom that has magazine rack and small cabinet.
3661,http://images.cocodataset.org/val2017/000000003661.jpg,A bunch of bananas sitting on top of a wooden table.
147740,http://images.cocodataset.org/val2017/000000147740.jpg,A woman walking while carrying bananas on her hat.
243204,http://images.cocodataset.org/val2017/000000243204.jpg,A person is holding a spatula near slices of bread on a stove.
368900,http://images.cocodataset.org/val2017/000000368900.jpg,A cluttered room filled with a tv and a kitchen. 
214192,http://images.cocodataset.org/val2017/000000214192.jpg,two motocross racers in the middle of a race
134096,http://images.cocodataset.org/val2017/000000134096.jpg,A calico cat drinking from a sink faucet.
441586,http://images.cocodataset.org/val2017/000000441586.jpg,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON"
425221,http://images.cocodataset.org/val2017/000000425221.jpg,A plane is flying away from the airport
163155,http://images.cocodataset.org/val2017/000000163155.jpg,A cat crouched over sitting by a brick wall.
216497,http://images.cocodataset.org/val2017/000000216497.jpg,Some chairs sit at an island near an open door. 
515266,http://images.cocodataset.org/val2017/000000515266.jpg,A white truck parked next to a white trailer.
360564,http://images.cocodataset.org/val2017/000000360564.jpg,A walk in shower next to a toilet with a wooden seat.
90631,http://images.cocodataset.org/val2017/000000090631.jpg,A colorful fighter jet flying through a blue sky.
427338,http://images.cocodataset.org/val2017/000000427338.jpg,A city made out of stone brick with large arches.
58705,http://images.cocodataset.org/val2017/000000058705.jpg,A man wearing a helmet while holding a banana next to a woman wearing a helmet.
360943,http://images.cocodataset.org/val2017/000000360943.jpg,An orange cat sitting in front of a door to a house.
302760,http://images.cocodataset.org/val2017/000000302760.jpg,A bathroom sink with a marble counter top under a large mirror.
252219,http://images.cocodataset.org/val2017/000000252219.jpg,a person with a shopping cart on a city street 
313182,http://images.cocodataset.org/val2017/000000313182.jpg,A purple and white bus driving down a street.
98520,http://images.cocodataset.org/val2017/000000098520.jpg,A large passenger jet sitting on top of an airport runway.
354072,http://images.cocodataset.org/val2017/000000354072.jpg,A bathroom sink under a mirror next to a plant.
206135,http://images.cocodataset.org/val2017/000000206135.jpg,A herd of cattle sitting in front of a church with a steeple.
308799,http://images.cocodataset.org/val2017/000000308799.jpg,A doorway into a clean wood floored kitchen.
205514,http://images.cocodataset.org/val2017/000000205514.jpg,The large living room has been decorated in modern furnishings.
537812,http://images.cocodataset.org/val2017/000000537812.jpg,A tiled bathroom with toilet and open shower
284623,http://images.cocodataset.org/val2017/000000284623.jpg,A black cat sits in a bathroom sink.
136355,http://images.cocodataset.org/val2017/000000136355.jpg,A kitchen with a bright window and house plants
1761,http://images.cocodataset.org/val2017/000000001761.jpg,Two planes flying in the sky over a bridge.
267351,http://images.cocodataset.org/val2017/000000267351.jpg,A large clock tower is yellow and white.
357567,http://images.cocodataset.org/val2017/000000357567.jpg,A small bathroom with a white toilet next to a shower curtain covered bath tub.
221502,http://images.cocodataset.org/val2017/000000221502.jpg,A park bench surrounded by floral arrangements on either side.
211825,http://images.cocodataset.org/val2017/000000211825.jpg,A man blowing out candles on a cake.
382734,http://images.cocodataset.org/val2017/000000382734.jpg,A bathroom being renovated with pipes in the wall
456394,http://images.cocodataset.org/val2017/000000456394.jpg,"BLUE MOTORCYCLE ON DISPLAY, SURROUNDED BY OTHER VEHICLES"
553776,http://images.cocodataset.org/val2017/000000553776.jpg,A man rides a large motorcycle on a freeway.
332455,http://images.cocodataset.org/val2017/000000332455.jpg,a close up of a toilet with a pink seat and lid
465179,http://images.cocodataset.org/val2017/000000465179.jpg,a close up of a person brushing her teeth in the bathroom
571718,http://images.cocodataset.org/val2017/000000571718.jpg,A man standing in front of a fruit stand containing several bunches of bananas.
527220,http://images.cocodataset.org/val2017/000000527220.jpg,A red car next to a gas station sign and parked blue and silver motorcycles.
554002,http://images.cocodataset.org/val2017/000000554002.jpg,A black dog standing between people in line
122217,http://images.cocodataset.org/val2017/000000122217.jpg,Two people skateboarding down a roadway in a downhill descent.
168337,http://images.cocodataset.org/val2017/000000168337.jpg,Two people outside of a stone building near a red fire hydrant.
23272,http://images.cocodataset.org/val2017/000000023272.jpg,A Calico cat laying on the hood of a Mercedes.
368940,http://images.cocodataset.org/val2017/000000368940.jpg,a bathroom with a mirror and a sink
481573,http://images.cocodataset.org/val2017/000000481573.jpg,Boy standing on a skate board as seen from under the board.
542089,http://images.cocodataset.org/val2017/000000542089.jpg,a bathroom with a bath tub a sink and a mirror
165681,http://images.cocodataset.org/val2017/000000165681.jpg,This is an image of a row of scooters
357737,http://images.cocodataset.org/val2017/000000357737.jpg,A picture of a person standing by a bicycle.
67213,http://images.cocodataset.org/val2017/000000067213.jpg,A lot of people that are looking at a pool.
222825,http://images.cocodataset.org/val2017/000000222825.jpg,A kitchen with a stove top oven next to a white fridge.
170893,http://images.cocodataset.org/val2017/000000170893.jpg,A dog is standing next to a toilet playing with tissue
107087,http://images.cocodataset.org/val2017/000000107087.jpg,A black cat sits in a car and looks out.
366884,http://images.cocodataset.org/val2017/000000366884.jpg,A man sitting at a computer desk in front of a monitor.
555597,http://images.cocodataset.org/val2017/000000555597.jpg,Many cars parked on a city street with tall buildings in the background.
139099,http://images.cocodataset.org/val2017/000000139099.jpg,A street scene with a person on a motorcycle.
144114,http://images.cocodataset.org/val2017/000000144114.jpg,A small glider flying through the sky with a pilot.
255917,http://images.cocodataset.org/val2017/000000255917.jpg,A cluster of traffic driving towards a capital building.
30828,http://images.cocodataset.org/val2017/000000030828.jpg,"A person with an orange blanket covering them, sleeping on a wooden park bench."
163562,http://images.cocodataset.org/val2017/000000163562.jpg,The young man is holding a clear Frisbee.
21839,http://images.cocodataset.org/val2017/000000021839.jpg,a person walking across the street with a traffic light above
251065,http://images.cocodataset.org/val2017/000000251065.jpg,A black toilet in a tiled public bathroom stall.
522751,http://images.cocodataset.org/val2017/000000522751.jpg,A view of a stoplight by a street.
213816,http://images.cocodataset.org/val2017/000000213816.jpg,a close up of a public transit train with its doors open
435003,http://images.cocodataset.org/val2017/000000435003.jpg,A laptop computer sitting on a desk next to a desktop monitor.
307145,http://images.cocodataset.org/val2017/000000307145.jpg,A kitchen with old wooden cabinets and a stove top oven.
281032,http://images.cocodataset.org/val2017/000000281032.jpg,An elderly person in a kitchen cooking food.
404484,http://images.cocodataset.org/val2017/000000404484.jpg,A woman bending over in a living room to pet her dog.
227044,http://images.cocodataset.org/val2017/000000227044.jpg,A black and white cat standing in a white bathroom sink.
2532,http://images.cocodataset.org/val2017/000000002532.jpg,A person standing on top of a ski covered slope.
156071,http://images.cocodataset.org/val2017/000000156071.jpg,A group of people standing around at a rodeo.
127182,http://images.cocodataset.org/val2017/000000127182.jpg,A kitchen filled with metal appliances and a window.
491090,http://images.cocodataset.org/val2017/000000491090.jpg,A man sitting on one of a group of motorcycles.
356387,http://images.cocodataset.org/val2017/000000356387.jpg,A row of parked motorcycles sitting in front of a tall building.
130826,http://images.cocodataset.org/val2017/000000130826.jpg,Two men sitting next to each other on a wooden bench.
472623,http://images.cocodataset.org/val2017/000000472623.jpg,A young man riding a bike on top of a beach.
481404,http://images.cocodataset.org/val2017/000000481404.jpg,A church with a stain glassed window of the virgin mary.
194875,http://images.cocodataset.org/val2017/000000194875.jpg,Here are motorcyclists parked outside a Polish gathering spot for women
25096,http://images.cocodataset.org/val2017/000000025096.jpg,A young boy cuts into a cake shaped like a skateboard.
485895,http://images.cocodataset.org/val2017/000000485895.jpg,The giraffe is standing in the shade of the tree.
243495,http://images.cocodataset.org/val2017/000000243495.jpg,a toilet with writing under the lid 
384850,http://images.cocodataset.org/val2017/000000384850.jpg,A bathroom with a shower curtain that has four palm trees on it and a white tile floor.
53505,http://images.cocodataset.org/val2017/000000053505.jpg,A toilet sitting underneath a medicine cabinet in a bathroom.
146667,http://images.cocodataset.org/val2017/000000146667.jpg,A woman digging through the storage compartment on her moped.
531707,http://images.cocodataset.org/val2017/000000531707.jpg,A group of people sitting on a wooden bench next to a  field.
31817,http://images.cocodataset.org/val2017/000000031817.jpg,A man riding a motorcycle while eating food.
536343,http://images.cocodataset.org/val2017/000000536343.jpg,A bath tub in a small bathroom with towels hanging over it.
29187,http://images.cocodataset.org/val2017/000000029187.jpg,A man riding a horse drawn carriage on a race track.
402346,http://images.cocodataset.org/val2017/000000402346.jpg,Tomatoes sit in a black bowl next to a flower.
458768,http://images.cocodataset.org/val2017/000000458768.jpg,A brightly lit kitchen with lots of natural light.
18737,http://images.cocodataset.org/val2017/000000018737.jpg,A motorcycle parked near a fence by a beach.
293044,http://images.cocodataset.org/val2017/000000293044.jpg,A plastic dish with the food sectioned off.
45229,http://images.cocodataset.org/val2017/000000045229.jpg,A kitchen filled with a wooden cabinet and a large window.
212453,http://images.cocodataset.org/val2017/000000212453.jpg,A white toilet sitting in a corner of a room.
570782,http://images.cocodataset.org/val2017/000000570782.jpg,Three computers without screens sit on a desk.
69213,http://images.cocodataset.org/val2017/000000069213.jpg,Two men wearing suits and hats are walking together.
520324,http://images.cocodataset.org/val2017/000000520324.jpg,Someone is driving a cart near a single engine airplane.
455624,http://images.cocodataset.org/val2017/000000455624.jpg,Person driving a plated motorcycle on a track with people watching.
408112,http://images.cocodataset.org/val2017/000000408112.jpg,A small propeller plane sitting on top of an airport tarmac.
297578,http://images.cocodataset.org/val2017/000000297578.jpg,A man walking down a street smoking a cigarette.
286907,http://images.cocodataset.org/val2017/000000286907.jpg,A bathroom scene with focus on the toilet.
553094,http://images.cocodataset.org/val2017/000000553094.jpg,a fighter het flying up in the air 
414510,http://images.cocodataset.org/val2017/000000414510.jpg,A few people sitting by a busy street
70774,http://images.cocodataset.org/val2017/000000070774.jpg,Small motorcycle with several bicycles tied to the back of it. 
15272,http://images.cocodataset.org/val2017/000000015272.jpg,A red light is a wonderful contrast to the pink leaves on trees
152120,http://images.cocodataset.org/val2017/000000152120.jpg,A man in a jean jacket riding a motorcycle on a road.
441247,http://images.cocodataset.org/val2017/000000441247.jpg,A woman standing in a kitchen next to a table.
323263,http://images.cocodataset.org/val2017/000000323263.jpg,A group of people standing around a blue building.
462614,http://images.cocodataset.org/val2017/000000462614.jpg,A bathroom filled with fixtures and a shower.
92124,http://images.cocodataset.org/val2017/000000092124.jpg,A bathroom with a white toilet and a sink net to a shower.
380706,http://images.cocodataset.org/val2017/000000380706.jpg,A man riding a motorcycle down a city street.
474786,http://images.cocodataset.org/val2017/000000474786.jpg,A bathroom with a sink and television inside of the mirror.
97022,http://images.cocodataset.org/val2017/000000097022.jpg,A kitchen filled with wooden cabinets and a microwave oven.
208901,http://images.cocodataset.org/val2017/000000208901.jpg,A large passenger jet flying through a gray sky.
74209,http://images.cocodataset.org/val2017/000000074209.jpg,A counter in a kitchen line with black metal stools.
472375,http://images.cocodataset.org/val2017/000000472375.jpg,A small black and brown dog sitting next to a motorcycle.
224724,http://images.cocodataset.org/val2017/000000224724.jpg,There is a woman standing on a city street.
84752,http://images.cocodataset.org/val2017/000000084752.jpg,a jet on three pillars in front of a building
405432,http://images.cocodataset.org/val2017/000000405432.jpg,A white table topped with cakes and nuts.
293324,http://images.cocodataset.org/val2017/000000293324.jpg,A group of large passenger jets parked in front of an airport.
8211,http://images.cocodataset.org/val2017/000000008211.jpg,"Two men talking to each other on a street corner
"
34873,http://images.cocodataset.org/val2017/000000034873.jpg,A kitchen with a counter and a table with chairs.
580294,http://images.cocodataset.org/val2017/000000580294.jpg,Person cooking an eggs on a black pot on a stove. 
507893,http://images.cocodataset.org/val2017/000000507893.jpg,The bathroom is white and looks very clean.
101762,http://images.cocodataset.org/val2017/000000101762.jpg,A cat standing next to a bike parked against a wall.
226984,http://images.cocodataset.org/val2017/000000226984.jpg,A kitchen filled with appliances and wooden cabinets.
52017,http://images.cocodataset.org/val2017/000000052017.jpg,A yellow and blue plant flying in a gray sky.
489339,http://images.cocodataset.org/val2017/000000489339.jpg,A woman is wearing a wetsuit while holding a surfboard.
205401,http://images.cocodataset.org/val2017/000000205401.jpg,A plane floating on top of a lake surrounded by mountains.
419974,http://images.cocodataset.org/val2017/000000419974.jpg,a man standing next to a kitchen counter preparing food.
262895,http://images.cocodataset.org/val2017/000000262895.jpg,"A man wearing a tie, jacket and white shirt."
138639,http://images.cocodataset.org/val2017/000000138639.jpg,A group of men standing on the side of a street.
349184,http://images.cocodataset.org/val2017/000000349184.jpg,A woman sitting on top of a wooden bench near a park.
37670,http://images.cocodataset.org/val2017/000000037670.jpg,A man holding holding a giant remote control.
338219,http://images.cocodataset.org/val2017/000000338219.jpg,A couple of motorcycles parked next to each other.
206487,http://images.cocodataset.org/val2017/000000206487.jpg,A man riding a motorcycle with a woman on back of it.
11149,http://images.cocodataset.org/val2017/000000011149.jpg,A man standing next to a bikes and a motorcycle.
379453,http://images.cocodataset.org/val2017/000000379453.jpg,An Air Force jet flying in a deep blue sky.
579902,http://images.cocodataset.org/val2017/000000579902.jpg,A person riding a motorcycle down a street.
485424,http://images.cocodataset.org/val2017/000000485424.jpg,an image of a junky garage with trash everywhere
33854,http://images.cocodataset.org/val2017/000000033854.jpg,"A bus, old cabin cars, and motor cycles with people "
44590,http://images.cocodataset.org/val2017/000000044590.jpg,A group of motorcycles parked on the side of a road.
167898,http://images.cocodataset.org/val2017/000000167898.jpg,"A kitchen with a toilet, sink and a bathtub."
167122,http://images.cocodataset.org/val2017/000000167122.jpg,an image of a night scene with a cat on top of a car
365766,http://images.cocodataset.org/val2017/000000365766.jpg,"A kitchen area with a stove, sink and microwave."
206411,http://images.cocodataset.org/val2017/000000206411.jpg,A hand spraying water into a white toilet bowl.
500464,http://images.cocodataset.org/val2017/000000500464.jpg,Bathroom with a white tiled floor and sink.
467511,http://images.cocodataset.org/val2017/000000467511.jpg,A biker chic in high heel boots is talking to a man at a gas pump.
311295,http://images.cocodataset.org/val2017/000000311295.jpg,A field with various wildlife and trees in the background.
170099,http://images.cocodataset.org/val2017/000000170099.jpg,a person wearing a suit and tie next to a couch
33638,http://images.cocodataset.org/val2017/000000033638.jpg,A woman observing something on a kitchen stove.
403565,http://images.cocodataset.org/val2017/000000403565.jpg,A man wearing a bike helmet standing next to a bicycle.
383443,http://images.cocodataset.org/val2017/000000383443.jpg,"A bathroom with a tub, sinks, lights and a television."
187745,http://images.cocodataset.org/val2017/000000187745.jpg,a small yellow Cessna plane flying on a clear day
365207,http://images.cocodataset.org/val2017/000000365207.jpg,rear view mirror reflection showing a dog in the back seat
343934,http://images.cocodataset.org/val2017/000000343934.jpg,A blue motorcycle is parked in a corner covered in graffiti.
290619,http://images.cocodataset.org/val2017/000000290619.jpg,Banana and plastic drink container sitting on a table.
209613,http://images.cocodataset.org/val2017/000000209613.jpg,Three look alike dogs are herding sheep into a pile.
459272,http://images.cocodataset.org/val2017/000000459272.jpg,A woman holding a smart phone next to a group of people.
386457,http://images.cocodataset.org/val2017/000000386457.jpg,Cat wedged between two large oak doors trying to get out.
245513,http://images.cocodataset.org/val2017/000000245513.jpg,A giraffe standing in a field next to a fence.
77396,http://images.cocodataset.org/val2017/000000077396.jpg,These two cats are playing in a room that has a large TV and a laptop computer.
477441,http://images.cocodataset.org/val2017/000000477441.jpg,A large passenger jet sitting on top of an airport tarmac.
402433,http://images.cocodataset.org/val2017/000000402433.jpg,A pizza sitting on top of a pan in the oven.
103585,http://images.cocodataset.org/val2017/000000103585.jpg,A bathroom with two sinks sitting under mirrors.
255401,http://images.cocodataset.org/val2017/000000255401.jpg,A bathroom filled with toilets and a tub next to a sink.
44279,http://images.cocodataset.org/val2017/000000044279.jpg,Two men work in the kitchen of a restaurant.
410878,http://images.cocodataset.org/val2017/000000410878.jpg,A parked motorcycle sitting on a dirty road.
459467,http://images.cocodataset.org/val2017/000000459467.jpg,A small wheeled airplane on an open runway.
507081,http://images.cocodataset.org/val2017/000000507081.jpg,"A kitchen with its light's off, with light coming from an open door."
262440,http://images.cocodataset.org/val2017/000000262440.jpg,"A bathroom with a toilet, sink, bath tub, and a small cabinet."
398905,http://images.cocodataset.org/val2017/000000398905.jpg,A person is sitting at a keyboard near a microphone.
173302,http://images.cocodataset.org/val2017/000000173302.jpg,A restaurant with red stools next to a bar  and a blue table.
164637,http://images.cocodataset.org/val2017/000000164637.jpg,A picture of pink bathroom sink and a mirror.
185802,http://images.cocodataset.org/val2017/000000185802.jpg,A banana in a little chair near a window.
17436,http://images.cocodataset.org/val2017/000000017436.jpg,A man sitting on a bench with a tall building behind him.
78748,http://images.cocodataset.org/val2017/000000078748.jpg,A group of motorcycles on display for a crowd.
382696,http://images.cocodataset.org/val2017/000000382696.jpg,A kitchen under construction with a trashcan and stove.
365387,http://images.cocodataset.org/val2017/000000365387.jpg,View of a public men's' room with a  cot on the side.
232649,http://images.cocodataset.org/val2017/000000232649.jpg,A bathroom has the blue toilet seat off.
490936,http://images.cocodataset.org/val2017/000000490936.jpg,A row of parked motorcycles on the side of a street.
312340,http://images.cocodataset.org/val2017/000000312340.jpg,A black and white cat sitting on top of leaves.
232563,http://images.cocodataset.org/val2017/000000232563.jpg,A man standing in the street with a umbrella.
389812,http://images.cocodataset.org/val2017/000000389812.jpg,A smiling man holds a bunch of freshly picked bananas
144003,http://images.cocodataset.org/val2017/000000144003.jpg,A group of people watching a woman cutting a cake.
376310,http://images.cocodataset.org/val2017/000000376310.jpg,A small bathroom with a mirror and sinks.
452122,http://images.cocodataset.org/val2017/000000452122.jpg,An airplane flying in the air during the day.
245448,http://images.cocodataset.org/val2017/000000245448.jpg,A man standing with his motorcycle outside of a repair shop.
32941,http://images.cocodataset.org/val2017/000000032941.jpg,A street that has all the traffic stopped at a traffic light.
